Year,Team,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%
2020,Cleveland Cavaliers,1.4,3.5,39.4,1.2,3,41,8.6,25.2,34.1
2020,Dallas Mavericks,1.6,4,38.9,2.1,4.9,42,11.5,32,36
2020,Denver Nuggets,1.5,3.7,41,1.3,3.2,39.8,8.2,23.4,34.9
2020,Detroit Pistons,2.1,4.7,44.2,2,4.9,39.8,7.9,22.8,34.7
2020,Golden State Warriors,1.3,3.2,41.1,1.1,2.9,37.6,8,25,32.1
2020,Houston Rockets,2.2,5.4,40.3,2.3,6.2,36.5,11.2,33.5,33.4
2020,Indiana Pacers,1.4,3.8,36.7,1.2,2.9,43.3,7.5,21.2,35.5
2020,Los Angeles Clippers,1.8,4.4,40.6,1.8,4.5,39.3,8.8,24.3,36.3
2020,Los Angeles Lakers,1.9,4.4,44.5,1.6,4.3,36.4,7.5,22.7,33
2020,Memphis Grizzlies,1.3,3.5,38.7,1.3,3.6,36.5,8.3,24.2,34.1
2020,Miami Heat,1.8,4.2,41.9,1.5,4.5,34.5,10.1,26.4,38.2
2020,Milwaukee Bucks,1.7,4.2,39.9,1.5,4.2,37.3,10.5,30.4,34.7
2020,Minnesota Timberwolves,1.3,3.9,33.7,1.1,3.3,33.2,10.9,32.3,33.8
